title,culture/people,media/materials,object type,place,collection history,image
Cradleboard,Kiowa  ,"Sewn, overlay beadwork, painted, studded, laced",Transportation Items: Baby carriers,Oklahoma; USA,"Formerly owned by Harry Hauvakt (Kiowa); purchased by anthropologist Mark Raymond Harrington (1882-1971, MAI staff member) in 1909 from a pawn shop operated by Samuel S. Arn (1855-1936) in Anadarko, Oklahoma, during fieldwork sponsored by George Heye.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10095/150/DSC00001.700x700.jpg
Snowshoes,Penobscot  ,Carved,Transportation Items,Old Town; Penobscot County; Maine; USA,"Collected by William C. Orchard (1860-1948, MAI staff member), possibly in 1909 during fieldwork for the American Museum of Natural History; acquired by MAI through an exchange with William C. Orchard in 1933.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4112/573/033.700x700.jpg
Cradleboard,Potawatomi [Michigan]  ,"Bent, laced, etched",Transportation Items: Baby carriers,Hopkins; Allegan County; Michigan; USA,"NMAI purchase from the artist, 2018.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10413/295/270206_000_001_20181005_ps.700x700.jpg
Cradleboard cover part/fragment,probably Great Lakes (attributed)  ,"Quilled (lane stitched), wrapped, quill-wrapped (flat)",Transportation Items: Baby carriers,"Lake Superior region; Ontario, Minnesota, Michigan, Wisconsin; Canada, USA","Collection history unknown; acquired by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London) circa 1910; purchased by George Heye from W.O. Oldman in 1911.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4066/713/062.700x700.jpg
Sling/Strap,probably Yámana (Yagán/Yahgan) (attributed)  ,Tied,Transportation Items,"Isla Grande de Tierra del Fuego; Tierra del Fuego Province, Magallanes y Antártica Chilena Region XII; Argentina, Chile","Collected by Commander Thomas Graves (1802-1856, of the British Royal Navy) in 1829 or 1830; acquired by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London) circa 1914; purchased by MAI from W.O. Oldman in 1919 using funds donated by MAI trustee Harmon W. Hendricks (1846-1928).",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4163/530/002.700x700.jpg
Cradleboard cover (part),probably Dakota (Eastern Sioux) (attributed)  ,"Sewn, quilled (lane stitched)",Transportation Items: Baby carriers,"Lake Superior region; Ontario, Minnesota, Michigan; Canada, USA","Collection history unknown; acquired by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London) circa 1910; purchased by George Heye from W.O. Oldman in 1911.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4066/715/064.700x700.jpg
Snowshoes (model),Anishinaabe (Chippewa/Ojibwa)  ,Painted,Transportation Items,"Great Lakes region; Canada, USA (inferred)","Collection history unknown; formerly in the collection of the Chichester Museum (Chichester, West Sussex, England) and said to have been acquired by the museum about 1845; acquired by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London) circa 1912; purchased by George Heye from W.O. Oldman in 1913.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10105/151/34.700x700.jpg
Baby belt/sling,Northern Athapaskan  ,"Sewn, overlay beadwork, tied",Transportation Items: Baby carriers,"Western Subarctic; Alaska; Canada, USA (inferred)","Collection history unknown; formerly in the collection of the Chichester Museum (Chichester, West Sussex, England) and said to have been acquired by the museum about 1845; acquired by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London) circa 1912; purchased by George Heye from W.O. Oldman in 1913.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4033/515/018.700x700.jpg
Cradleboard cover (part),Great Lakes  ,"Dyed, quill woven/loomed quillwork, strung",Transportation Items: Baby carriers,"Michilimackinac, Fort Miami; Cheboygan County, Saint Joseph County; Michigan; USA","Collected between 1790 and 1795 by British Army officer Major Andrew Foster (1768-1806) at Fort Miami or Fort Michilimackinac; inherited by his family and donated to the Wells and Mendip Museum (Wells, England) by Foster family members in 1936; removed from the collection of the Wells and Mendip Museum at an unknown date; acquired by George Terasaki (a New York art dealer) in 1965 or 1966; acquired by MAI through an exchange with George Terasaki in 1967.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10078/956/010.700x700.jpg
Cradleboard cover part/fragment,probably Great Lakes (attributed)  ,Quilled (lane stitched),Transportation Items: Baby carriers,"Great Lakes region; Canada, USA (inferred)",Collection history unknown; formerly in the collection of Western painter Edwin Willard Deming (1860-1942); purchased by George Heye from an unknown source circa 1906.,https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4066/712/061.700x700.jpg
Cradleboard,Great Lakes  ,"Carved, incised, painted, perforated, laced",Transportation Items: Baby carriers,"Michilimackinac, Fort Miami; Cheboygan County, Saint Joseph County; Michigan; USA","Collected between 1790 and 1795 by British Army officer Major Andrew Foster (1768-1806) at Fort Miami or Fort Michilimackinac; inherited by his family and donated to the Wells and Mendip Museum (Wells, England) by Foster family members in 1936; removed from the collection of the Wells and Mendip Museum at an unknown date; acquired by George Terasaki (a New York art dealer) in 1965 or 1966; acquired by MAI through an exchange with George Terasaki in 1967.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10112/673/242019.700x700.jpg
Cradleboard cover (part),Great Lakes  ,"Sewn, dyed, quill-wrapped (flat), quill-netted, strung",Transportation Items: Baby carriers,"Michilimackinac, Fort Miami; Cheboygan County, Saint Joseph County; Michigan; USA","Collected between 1790 and 1795 by British Army officer Major Andrew Foster (1768-1806) at Fort Miami or Fort Michilimackinac; inherited by his family and donated to the Wells and Mendip Museum (Wells, England) by Foster family members in 1936; removed from the collection of the Wells and Mendip Museum at an unknown date; acquired by George Terasaki (a New York art dealer) in 1965 or 1966; acquired by MAI through an exchange with George Terasaki in 1967.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10078/948/002.700x700.jpg
Cradle/cradleboard ornament,Great Lakes  ,"Dyed, quilled (lane stitched), quill-wrapped (flat), strung",Transportation Items: Baby carriers,"Great Lakes region; Canada, USA (inferred)","Collection history unknown; formerly in the collection of William M. Fitzhugh (1853-1929, a San Francisco collector); purchased by MAI from the estate of William M. Fitzhugh in 1936.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4089/857/106.700x700.jpg
Cradleboard cover,Tsitsistas/Suhtai (Cheyenne)  ,"Sewn, lazy/lane stitch beadwork, overlay beadwork",Transportation Items: Baby carriers,"Plains; USA, Canada (inferred)",Collection history unknown; purchased by George Heye/MAI at an unknown date.,https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4023/460/044.700x700.jpg
Baby carrier/Moss bag,Tsitsistas/Suhtai (Cheyenne)  ,Quilled (lane stitched),Transportation Items: Baby carriers,"Plains; USA, Canada (inferred)",Collection history unknown; purchased by MAI from an unknown source in 1937.,https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4023/582/008.700x700.jpg
Cradleboard,Payómkawichum (Luiseño)  ,"Sewn, bead mosaic, strung, laced",Transportation Items: Baby carriers,Pauma Valley; San Diego County; California; USA,"NMAI purchase from the Case Trading Post, Wheelwright Museum of the American Indian (Santa Fe, New Mexico) in 2017.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10397/056/270101_000_001_20171213_ps.700x700.jpg
Cradleboard model/toy,probably Dakelh (Carrier) (attributed)  ,"Stitched, painted, etched",Transportation Items: Baby carriers,Fraser Lake; Fraser-Fort George Regional District; British Columbia; Canada,"Collection history unknown; formerly in the collection of Douglas D. Graham (1849-1914, a trader at Zuni Pueblo from the 1870s through the 1890s); donated to MAI in 1959 by his nieces Evelyn Brinckerhoff Lent (Mrs. Ward S. Lent, 1890-1970), Heloise Graham Brinckerhoff Oman (Mrs. Charles M. Oman, 1885-1966), Beatrice Brinckerhoff Young (Mrs. Alexander M. Young, 1895-1973), and Mary Franklin Brinckerhoff Van Houten (Mrs. John M. Van Houten, 1894-1964).",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4035/435/081.700x700.jpg
Cradleboard,Mohawk [Kahnawake (Caughnawaga)]  ,"Carved, painted",Transportation Items: Baby carriers,Kahnawake Reserve (Caughnawaga Reserve); Montérégie Region; Québec; Canada,"Collection history unknown; formerly in the collection of Christian F. Schuster (1868-1957, a collector and amateur archaeologist in Holyoke, Massachusetts); purchased by MAI from Christian Schuster in 1953.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4031/437/025.700x700.jpg
Baby belt/sling,Kadiwéu (Caduveo/Cadioeos/Guaicuru)  ,Knotted,Transportation Items: Baby carriers,"Rio Nabileque; Pantanal Sul Mesoregion; Mato Grosso do Sul State, Central-West Region; Brazil","Collected by Sasha Siemel (1890-1970, an adventurer, hunter, and author) between 1914 and 1937; purchased by MAI from Sasha Siemel in 1937.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/255/349/073.700x700.none.jpg
title,culture/people,media/materials,object type,place,collection history,image
Chapel for Pablo Tac,La Jolla Band Luiseño  ,"Cotton cloth, canvas, paint, wood, silver, gold, brass, gourd, brass bell/bells, vegetal fiber, feather/feathers, shell/shells, commercially tanned leather, pottery, cardboard, synthetic fabric, glass bottle, iron/steel head, stone",Works of Art (Other),Venice; Venice Province; Veneto Region; Italy,Created for the 2005 Venice Biennale; NMAI purchase from the artists in 2010.,https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10158/953/Luna_Chapel.700x700.jpg
Mask,probably Squaxon (attributed)  ,"Carved, painted, tied",Works of Art (Other),Washington; USA (inferred),"Formerly in the collection of Senator Daniel K. Inouye (1924-2012, D-Hawaii) and probably received as a gift in recognition of his service to American Indians as Chairman of the Senate Committee on Indian Affairs (1987-1995 and 2001-2003); donated to NMAI by Senator Inouye's widow Irene Hirano Inouye (1948-2020) in 2013.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10227/997/269078_000_001_20130515_ps.700x700.jpg
Mask,Warm Springs  ,"Modeled, incised, glazed, strung, twisted",Works of Art (Other),Portland; Multnomah County; Oregon; USA (inferred),"Formerly in the collection of Senator Daniel K. Inouye (1924-2012, D-Hawaii); received as a gift from the Confederated Tribes of Warm Springs at an unknown date in recognition of Senator Inouye's service to American Indians as Chairman of the Senate Committee on Indian Affairs (1987-1995 and 2001-2003); donated to NMAI by Senator Inouye's widow Irene Hirano Inouye (1948-2020) in 2013.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10224/699/269042_000_001_20130430_ps.700x700.jpg
Mask,Spokan  ,"Modeled, incised, glazed, impressed",Works of Art (Other),Santa Fe; Santa Fe County; New Mexico; USA,"Purchased by the Indian Arts and Crafts Board from the Center for the Arts of Indian America, a Washington, DC gallery and re-granting agency, in 1967; part of the IACB Headquarters collection (Department of the Interior, Washington, DC) until 2000 when it was transferred to NMAI.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4150/460/03.700x700.jpg
Ofrenda,Zapotec  ,"Wool yarn, indigo dye/dyes, vegetal dye/dyes",Works of Art (Other),"Teotitlán del Valle; Teotitlán del Valle; Teotitlán del Valle Municipality, Tlacolula District, Valles Centrales Region; Oaxaca State; Mexico","NMAI purchase from the artist, 2014.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10252/627/269355_000_001_20150423_ps.700x700.jpg
"Tsu Heidei Shugaxtutaan [We will again open this container of wisdom that has been left in our care], Part I",Tlingit  ,Digital video,Works of Art (Other),Sitka (Norfolk Sound); Sealaska Native Corporation; Alaska; USA,"NMAI purchase from the artist, 2017.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10398/795/270086_000_001_20180516_reg.700x700.jpg
The Eye of the Storm,Métis  ,"Synthetic fabric, stone, bean/beans, corn kernel/kernels, paper, glass bead/beads",Works of Art (Other),Regina; Saskatchewan; Canada,"NMAI commission from the artist, 2004.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10252/617/269400_000_001_20150416_ps.700x700.jpg
"Tears of our Children, Tears for our Children",Diné (Navajo)  ,"Cotton cloth, cotton batting, commercially tanned leather, ink, thread",Works of Art (Other),"Sheep Springs, Navajo Reservation; San Juan County; New Mexico; USA","NMAI purchase from the artist, 2014.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10248/332/269331_000_001_20140905_ps.700x700.jpg
Small Secrets,Inupiaq (Alaskan Inupiat Eskimo)  ,"Walrus gut/intestine, glass bead/beads, animal hair, nylon thread, human hair",Works of Art (Other),Anchorage; Cook Inlet Native Corporation; Alaska; USA,"NMAI purchase from the artist, 2011.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10217/345/268460_000_001_20120813_ps.700x700.jpg
House of Transitions,Oklahoma Seminole  ,"Plastic, metal, cotton twine/string, wood, photograph/photographs",Works of Art (Other),Boulder; Colorado; USA,"NMAI purchase from the artist, 2013.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10252/665/269249 on exhibition.700x700.jpg
Begin With Your Right Foot,Osage  ,"Pottery, clay slip, paint, glaze",Works of Art (Other),Stillwater; Payne County; Oklahoma; USA,"NMAI purchase from the artist, 2014.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10249/639/269329_000_001_20141209_ps.700x700.jpg
Conductors of Our Own Destiny,Northern Inunaina (Arapaho)  ,"Buffalo hide/skin, glass bead/beads, gold beads, metal bead/beads, ermine tail, acrylic paint, ink, satin ribbon, brass bell/bells",Works of Art (Other),Albuquerque; Bernalillo County; New Mexico; USA,"NMAI purchase from the artist, 2014.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10248/763/269328_000_001_20141028_ps.700x700.jpg
Our River's Ancestors,Quinault  ,"Glass, paint",Works of Art (Other),Seattle; King County; Washington; USA,"NMAI purchase from the artist, 2015.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10290/342/269630_000_001_20160224_ps.700x700.jpg
Reservation Diabetes Dispenser,Sicangu Lakota [Rosebud Sioux]  ,"Plastic, glass bead/beads, paint, brass tacks/bosses",Works of Art (Other),Rosebud Reservation; Todd County; South Dakota; USA (inferred),"NMAI purchase from the Home & Away Gallery (Kennebunkport, Maine), 2014.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10249/815/269339_000_001_20141216_ps.700x700.jpg
"Tsu Heidei Shugaxtutaan [We will again open this container of wisdom that has been left in our care], Part II",Tlingit  ,Digital video,Works of Art (Other),Sitka (Norfolk Sound); Sealaska Native Corporation; Alaska; USA (inferred),"NMAI purchase from the artist, 2017.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10398/796/270086_001_001_20180516_reg.350x350.jpg
Lucky Blanket,Choctaw  ,"Wool felt, glass bead/beads, paint",Works of Art (Other),Santa Fe; Santa Fe County; New Mexico; USA (inferred),"NMAI purchase from the artist, 2001.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10079/995/257257A.700x700.jpg
Strawberry and Chocolate,Onondaga  ,"16mm film, film fullcoat, twine/string",Works of Art (Other),Olympia; Thurston County; Washington; USA,"NMAI purchase from the artist, 2001.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10119/519/257273.700x700.jpg
Bowl/Dish in the form of a flounder,Inupiaq (Alaskan Inupiat Eskimo)  ,Hammered,Works of Art (Other),Fairbanks; Doyon Native Corporation; Alaska; USA,"Commissioned by Indian Arts and Crafts Board representatives from the artist in 1983 and delivered by the artist in 1984; part of the IACB Headquarters collection (Department of the Interior, Washington, DC) until 2000 when it was transferred to NMAI.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10052/152/03.700x700.jpg
title,culture/people,media/materials,object type,place,collection history,image
Hair comb,Inupiaq (Alaskan Inupiat Eskimo) [Kinugumiut/Kingegan/Cape Prince of Wales]  ,Incised,Personal items,Cape Prince of Wales; Bering Straits Native Corporation; Alaska; USA,Collection history unknown; formerly in the collection of Mrs. William Hart; purchased by George Heye from an unknown source circa 1915.,https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4041/528/056.700x700.jpg
"Harpoon head, foreshaft, and line",Eskimo/Inuit  ,"Carved, braided",Hunting/Fishing/Warfare,Arctic (inferred),"Collected by William Gowan (or Gowen) between 1850 and 1854 when he served on the HMS Enterprise during a search for explorer Sir John Franklin (1786-1847), who disappeared during an 1845-1847 voyage to chart Canada's Northwest Passage; acquired by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London) at an unknown date; purchased by MAI from W.O. Oldman in 1917.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4038/452/011.700x700.jpg
Shaman's figure accessory (Image withheld),Alaskan Eskimo  ,Sewn,Ceremonial/Ritual items: Shamanic objects,Alaska; USA,"Collection history unknown; acquired by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London) circa 1914; purchased by George Heye from W.O. Oldman in 1915.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/216/243/041078.700x700.jpg
Lamp part/fragment,Kalaallit (Greenland Eskimo)  ,Ground,Furnishings (Home),Greenland (Kalaallit Nunaat),Collection history unknown; formerly in the collection of the Academy of Natural Sciences of Philadelphia; lent to MAI by the Academy of Natural Sciences in 1929.,https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4030/589/179.700x700.jpg
Child,Inuit [Igloolik]  ,Steatite/soapstone,Sculpture/Carving/Figures,"Igloolik (Iglulik); Qikiqtaaluk Region (Qitirmiut, Baffin); Nunavut; Canada","Purchased by Inuit art collectors Bert Witt (Mervin Herbert Witt, 1916-2013) and his wife Ellen Hays Witt (1917-2007) from the Canadian Arctic Producers Co-operative Ltd. (Mississauga, Ontario) in 1974; donated to NMAI by Bert and Ellen Witt in 2001.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4160/224/11.700x700.jpg
Arrow,Eskimo/Inuit  ,Carved,Hunting/Fishing/Warfare,Arctic (inferred),"Collected by William Gowan (or Gowen) between 1850 and 1854 when he served on the HMS Enterprise during a search for explorer Sir John Franklin (1786-1847), who disappeared during an 1845-1847 voyage to chart Canada's Northwest Passage; acquired by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London) at an unknown date; purchased by MAI from W.O. Oldman in 1917.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4034/039/012.700x700.jpg
Necklace,Inupiaq (Alaskan Inupiat Eskimo) [Nuwukmiut/Point Barrow]  ,Carved,Adornment/Jewelry,Point Barrow; Arctic Slope Native Corporation; Alaska; USA,"Collection history unknown; acquired by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London) circa 1912; purchased by George Heye from W.O. Oldman in 1913.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4100/813/096.700x700.jpg
Cooking vessel,probably Inuvialuit Inupiaq (Mackenzie Delta Eskimo) (attributed)  ,Aboriginally repaired,Food Gathering and Preparation,150 miles east of mouth of Mackenzie River; East of Mackenzie River mouth; Inuvialuit Settlement Region; Northwest Territories; Canada,Collection history unknown; purchased by MAI from an unknown source circa 1917.,https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4098/555/061.700x700.jpg
Arrow,Eskimo/Inuit  ,Barbed,Hunting/Fishing/Warfare,Arctic (inferred),"Collected by William Gowan (or Gowen) between 1850 and 1854 when he served on the HMS Enterprise during a search for explorer Sir John Franklin (1786-1847), who disappeared during an 1845-1847 voyage to chart Canada's Northwest Passage; acquired by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London) at an unknown date; purchased by MAI from W.O. Oldman in 1917.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4034/086/059.700x700.jpg
Ulu knife,Inupiaq (Alaskan Inupiat Eskimo) [Nuwukmiut/Point Barrow]  ,Carved,Tools and Equipment (General),Point Barrow; Arctic Slope Native Corporation; Alaska; USA,"Collection history unknown; acquired by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London) circa 1914; purchased by George Heye from W.O. Oldman in 1915.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4100/306/059.700x700.jpg
Ulu knife,Inupiaq (Alaskan Inupiat Eskimo) [Nuwukmiut/Point Barrow]  ,Carved,Tools and Equipment (General),Point Barrow; Arctic Slope Native Corporation; Alaska; USA,"Collection history unknown; acquired by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London) circa 1915; purchased by George Heye from W.O. Oldman in 1915.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4100/323/076.700x700.jpg
Figure,Iglulingmiut Inuit (Iglulik/Iglulirmiut Eskimo)  ,Carved,Sculpture/Carving/Figures,"East coast of Melville Peninsula from Lyon Inlet to Fury and Hecla Strait; Melville Peninsula; Qikiqtaaluk Region (Qitirmiut, Baffin), Kivalliq Region (Keewatin); Nunavut; Canada","Collected between 1913 and 1916 by Christian Leden (1882-1957, Arctic explorer); purchased by MAI from Christian Leden in 1917 using funds donated by MAI trustee James B. Ford (1844-1928).",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4097/054/086.700x700.jpg
Lamp part/fragment,Netsilingmiut Inuit (Netsilik Eskimo) [Aivilingmiut/Aivilirmiut/Aivilik]  ,Aboriginally repaired,Furnishings (Home),"Murray Harbor, Lyon Inlet, Melville Peninsula; Kivalliq Region (Keewatin); Nunavut; Canada","Collected by polar explorer Captain Robert A. Bartlett (1875-1946), probably in 1933; acquired by MAI through an exchange with Captain Bartlett in 1933.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4095/860/191.700x700.jpg
Figure,probably Inupiaq (Alaskan Inupiat Eskimo) (attributed)  ,"Carved, incised",Sculpture/Carving/Figures,Western Alaska; Alaska; USA,"Collection history unknown; acquired by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London) at an unknown date; purchased by MAI from W.O. Oldman in 1917.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4098/820/092.700x700.jpg
Cooking vessel,Copper Inuit (Copper Eskimo) [Ahagmiut/Coronation Gulf]  ,Ground,Food Gathering and Preparation,Coronation Gulf; Kitkmeot Region (Qitirmiut); Nunavut; Canada,Collection history unknown; purchased by MAI from an unknown source in 1923.,https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4096/920/142.700x700.jpg
Sash/Belt,Eskimo/Inuit  ,Quill embroidered,Clothing/Garments: Accessories,Arctic (inferred),"Collected by William Gowan (or Gowen) between 1850 and 1854 when he served on the HMS Enterprise during a search for explorer Sir John Franklin (1786-1847), who disappeared during an 1845-1847 voyage to chart Canada's Northwest Passage; acquired by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London) at an unknown date; purchased by MAI from W.O. Oldman in 1917.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4099/726/004.700x700.jpg
Figure,probably Inupiaq (Alaskan Inupiat Eskimo) (attributed)  ,Carved,Sculpture/Carving/Figures,Western Alaska; Alaska; USA,"Collection history unknown; acquired by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London) at an unknown date; purchased by MAI from W.O. Oldman in 1917.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4098/824/096.700x700.jpg
Lamp,probably Inuvialuit Inupiaq (Mackenzie Delta Eskimo) (attributed)  ,Coiled/hand built,Furnishings (Home),Mackenzie River; Northwest Territories; Canada,"Collection history unknown; purchased by MAI in 1938 from Ye Olde Curiosity Shop (Seattle, Washington), which was owned and operated by James E. Standley (1854-1940), possibly using funds donated by Dr. Ralph C. Williams (1876-1940, an orthopedic surgeon in Brooklyn, New York).",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10095/821/DSC00028.700x700.jpg
Bowl/Dish,Alaskan Eskimo  ,Painted,Containers and Vessels,Alaska; USA,"Collection history unknown; acquired by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London) in 1909; purchased by George Heye from W.O. Oldman in 1910.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4098/261/066.700x700.jpg
Snow knife,Sallirmiut Inuit (Sagdlimiut Eskimo)  ,Perforated,Tools and Equipment (General),Southampton Bay; Southampton Island; Kivalliq Region (Keewatin); Nunavut; Canada,"Collection history unknown; acquired by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London) circa 1914; purchased by George Heye from W.O. Oldman in 1915.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4096/809/030.700x700.jpg
title,culture/people,media/materials,object type,place,collection history,image
Bag,Meskwaki (Fox)  ,Twined,Bags/Pouches (and parts),Iowa; USA,"Items in this set were collected from several Meskwaki (Fox) individuals (Pe'-mi'-ta, Kwe'-ta-dji', Ke'-ke'-kwu'-mo'-ha, Me'c-ki'-gwe', Pe'-mi'-ka-wi'-kw, Me's-kwa-na-kwi', Chief Joe Tesson, Mr. and Mrs. Jim Scott, Me's-kwa-gu'n, A-yan-a-pi', Mu'-dji'-kwaw, Wa-ta-dji', Ne'-ka-pa, and Janie) in 1910 by anthropologist Mark Raymond Harrington (1882-1971, MAI staff member) during fieldwork sponsored by George Heye.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4127/583/015.700x700.jpg
Bag,Meskwaki (Fox)  ,Twined,Bags/Pouches (and parts),Iowa; USA,"Items in this set were collected from several Meskwaki (Fox) individuals (Pe'-mi'-ta, Kwe'-ta-dji', Ke'-ke'-kwu'-mo'-ha, Me'c-ki'-gwe', Pe'-mi'-ka-wi'-kw, Me's-kwa-na-kwi', Chief Joe Tesson, Mr. and Mrs. Jim Scott, Me's-kwa-gu'n, A-yan-a-pi', Mu'-dji'-kwaw, Wa-ta-dji', Ne'-ka-pa, and Janie) in 1910 by anthropologist Mark Raymond Harrington (1882-1971, MAI staff member) during fieldwork sponsored by George Heye.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4127/574/006.700x700.jpg
